Duration (s),Speaker,start_ms,end_ms
1873,SPEAKER_01,497,2370
2042,SPEAKER_01,15955,17997
6750,SPEAKER_00,20157,26907
793,SPEAKER_01,26907,27700
9534,SPEAKER_00,27548,37082
810,SPEAKER_01,30400,31210
3459,SPEAKER_01,36998,40457
8049,SPEAKER_00,40424,48473
1890,SPEAKER_01,48912,50802
2328,SPEAKER_00,50802,53130
709,SPEAKER_00,54700,55409
2076,SPEAKER_01,55459,57535
1502,SPEAKER_00,57366,58868
11829,SPEAKER_01,58868,70697
8522,SPEAKER_00,70680,79202
4370,SPEAKER_01,75085,79455
18680,SPEAKER_01,80097,98777
574,SPEAKER_00,83590,84164
6412,SPEAKER_00,97799,104211
1316,SPEAKER_01,103722,105038
1182,SPEAKER_00,104835,106017
17752,SPEAKER_01,106017,123769
84,SPEAKER_00,122065,122149
2143,SPEAKER_00,123297,125440
860,SPEAKER_01,125592,126452
1890,SPEAKER_00,126081,127971
17483,SPEAKER_01,127937,145420
3915,SPEAKER_00,144914,148829
13078,SPEAKER_01,148778,161856
540,SPEAKER_00,155865,156405
12775,SPEAKER_00,161552,174327
1704,SPEAKER_01,175002,176706
878,SPEAKER_00,176706,177584
15154,SPEAKER_01,178174,193328
1300,SPEAKER_00,182612,183912
338,SPEAKER_00,191370,191708
7256,SPEAKER_00,193311,200567
19120,SPEAKER_01,197749,216869
287,SPEAKER_00,211283,211570
203,SPEAKER_00,214776,214979
1890,SPEAKER_00,216295,218185
13922,SPEAKER_01,218168,232090
894,SPEAKER_00,232360,233254
2295,SPEAKER_01,233254,235549
5602,SPEAKER_00,235482,241084
7814,SPEAKER_01,241725,249539
2261,SPEAKER_00,249488,251749
13837,SPEAKER_01,252104,265941
372,SPEAKER_00,259680,260052
3966,SPEAKER_00,265941,269907
5164,SPEAKER_01,270514,275678
675,SPEAKER_00,273130,273805
3577,SPEAKER_00,275560,279137
26342,SPEAKER_01,276353,302695
388,SPEAKER_00,281787,282175
371,SPEAKER_00,286866,287237
725,SPEAKER_00,300147,300872
861,SPEAKER_00,302678,303539
23085,SPEAKER_01,303539,326624
2008,SPEAKER_00,314204,316212
708,SPEAKER_00,326624,327332
1890,SPEAKER_01,327332,329222
4944,SPEAKER_01,329864,334808
389,SPEAKER_00,334740,335129
8438,SPEAKER_01,335550,343988
1097,SPEAKER_00,344055,345152
3122,SPEAKER_01,345152,348274
1418,SPEAKER_00,347599,349017
692,SPEAKER_01,349962,350654
4489,SPEAKER_01,351396,355885
1131,SPEAKER_00,355868,356999
7932,SPEAKER_01,357150,365082
2362,SPEAKER_00,360897,363259
1890,SPEAKER_00,364137,366027
1789,SPEAKER_01,366347,368136
405,SPEAKER_00,368052,368457
5231,SPEAKER_01,368828,374059
641,SPEAKER_00,374397,375038
10192,SPEAKER_01,375629,385821
4810,SPEAKER_00,385804,390614
31792,SPEAKER_01,388977,420769
456,SPEAKER_00,397549,398005
5180,SPEAKER_01,421360,426540
44837,SPEAKER_01,427215,472052
320,SPEAKER_00,427317,427637
1350,SPEAKER_00,430692,432042
186,SPEAKER_00,440614,440800
574,SPEAKER_00,456848,457422
1738,SPEAKER_00,472052,473790
16184,SPEAKER_01,473790,489974
1215,SPEAKER_00,476710,477925
3830,SPEAKER_00,489957,493787
6986,SPEAKER_01,492454,499440
4388,SPEAKER_00,496251,500639
14917,SPEAKER_01,500588,515505
51,SPEAKER_00,501870,501921
557,SPEAKER_00,515438,515995
19187,SPEAKER_01,516805,535992
4151,SPEAKER_00,535992,540143
25278,SPEAKER_01,539249,564527
2886,SPEAKER_00,564527,567413
21347,SPEAKER_01,567413,588760
1384,SPEAKER_00,588169,589553
4489,SPEAKER_01,589553,594042
17162,SPEAKER_01,594666,611828
1620,SPEAKER_00,611153,612773
2885,SPEAKER_01,613060,615945
1198,SPEAKER_00,615557,616755
18461,SPEAKER_01,617110,635571
17,SPEAKER_00,623202,623219
1789,SPEAKER_00,634997,636786
1452,SPEAKER_01,637410,638862
36922,SPEAKER_00,638440,675362
3459,SPEAKER_01,675413,678872
9484,SPEAKER_00,678872,688356
1805,SPEAKER_01,687597,689402
6361,SPEAKER_00,689369,695730
1316,SPEAKER_01,695849,697165
28704,SPEAKER_00,697418,726122
5349,SPEAKER_01,726730,732079
17955,SPEAKER_00,729818,747773
7880,SPEAKER_01,747959,755839
1890,SPEAKER_00,755839,757729
1215,SPEAKER_01,757122,758337
38694,SPEAKER_00,758337,797031
472,SPEAKER_01,762623,763095
18883,SPEAKER_00,797622,816505
3139,SPEAKER_01,815357,818496
9652,SPEAKER_00,818699,828351
1029,SPEAKER_01,824200,825229
4658,SPEAKER_01,828351,833009
7205,SPEAKER_00,833009,840214
8302,SPEAKER_01,839708,848010
8421,SPEAKER_00,847352,855773
1283,SPEAKER_01,849377,850660
1485,SPEAKER_01,855975,857460
1570,SPEAKER_00,857460,859030
2093,SPEAKER_01,859131,861224
26173,SPEAKER_00,860211,886384
371,SPEAKER_01,882689,883060
8319,SPEAKER_01,886604,894923
2346,SPEAKER_00,894923,897269
21634,SPEAKER_01,897285,918919
1468,SPEAKER_00,905824,907292
1334,SPEAKER_00,918345,919679
2430,SPEAKER_01,919527,921957
11643,SPEAKER_00,921957,933600
1536,SPEAKER_01,933600,935136
624,SPEAKER_00,934934,935558
15509,SPEAKER_01,935760,951269
1957,SPEAKER_00,951235,953192
5096,SPEAKER_01,953361,958457
85,SPEAKER_00,956280,956365
12522,SPEAKER_00,958035,970557
1620,SPEAKER_01,970557,972177
37935,SPEAKER_00,972700,1010635
1822,SPEAKER_01,1010669,1012491
1131,SPEAKER_00,1012491,1013622
6665,SPEAKER_00,1014297,1020962
4101,SPEAKER_01,1018397,1022498
3780,SPEAKER_00,1023392,1027172
3898,SPEAKER_01,1025552,1029450
10513,SPEAKER_00,1028421,1038934
5906,SPEAKER_01,1037753,1043659
2886,SPEAKER_00,1043372,1046258
776,SPEAKER_01,1046258,1047034
3611,SPEAKER_00,1046899,1050510
507,SPEAKER_01,1050645,1051152
12723,SPEAKER_00,1051827,1064550
4218,SPEAKER_01,1064939,1069157
3021,SPEAKER_00,1069157,1072178
4523,SPEAKER_01,1072414,1076937
26831,SPEAKER_00,1076481,1103312
557,SPEAKER_01,1096680,1097237
2413,SPEAKER_01,1102789,1105202
2514,SPEAKER_00,1104713,1107227
4759,SPEAKER_01,1107379,1112138
472,SPEAKER_00,1107818,1108290
16689,SPEAKER_00,1111497,1128186
17196,SPEAKER_01,1128186,1145382
3257,SPEAKER_00,1144673,1147930
237,SPEAKER_01,1147997,1148234
2633,SPEAKER_00,1148841,1151474
2581,SPEAKER_01,1151474,1154055
1823,SPEAKER_01,1157042,1158865
3831,SPEAKER_00,1157565,1161396
3038,SPEAKER_00,1162020,1165058
16385,SPEAKER_01,1163354,1179739
894,SPEAKER_00,1167623,1168517
5299,SPEAKER_00,1179520,1184819
11121,SPEAKER_01,1185426,1196547
2514,SPEAKER_00,1195433,1197947
2160,SPEAKER_01,1197914,1200074
1333,SPEAKER_00,1199770,1201103
3577,SPEAKER_01,1201103,1204680
13753,SPEAKER_00,1204579,1218332
2768,SPEAKER_01,1218872,1221640
6463,SPEAKER_00,1221353,1227816
