Duration (s),Speaker,start_ms,end_ms
2003,SPEAKER_01,263,2266
4244,SPEAKER_01,19227,23471
696,SPEAKER_00,23590,24286
730,SPEAKER_01,24660,25390
1036,SPEAKER_00,25916,26952
492,SPEAKER_01,26952,27444
1188,SPEAKER_00,27699,28887
2564,SPEAKER_01,28887,31451
679,SPEAKER_00,31825,32504
662,SPEAKER_01,32504,33166
2292,SPEAKER_00,33166,35458
6876,SPEAKER_01,35458,42334
1816,SPEAKER_00,42470,44286
1799,SPEAKER_00,45509,47308
5569,SPEAKER_01,47682,53251
883,SPEAKER_00,49176,50059
7911,SPEAKER_00,53370,61281
7521,SPEAKER_01,59957,67478
8608,SPEAKER_00,68089,76697
527,SPEAKER_01,73488,74015
3667,SPEAKER_01,76120,79787
3599,SPEAKER_00,80093,83692
1002,SPEAKER_01,82215,83217
11579,SPEAKER_01,83760,95339
7403,SPEAKER_00,95899,103302
5110,SPEAKER_01,103353,108463
1545,SPEAKER_01,108938,110483
662,SPEAKER_01,110942,111604
6842,SPEAKER_01,111774,118616
3871,SPEAKER_00,119210,123081
1375,SPEAKER_01,123251,124626
1596,SPEAKER_01,124711,126307
866,SPEAKER_00,126307,127173
2156,SPEAKER_01,126986,129142
407,SPEAKER_01,129329,129736
3498,SPEAKER_01,130466,133964
526,SPEAKER_01,134592,135118
2020,SPEAKER_01,135458,137478
6299,SPEAKER_01,137869,144168
934,SPEAKER_01,144507,145441
1290,SPEAKER_01,145543,146833
2445,SPEAKER_00,147376,149821
5773,SPEAKER_01,149634,155407
9389,SPEAKER_00,156273,165662
493,SPEAKER_01,163573,164066
628,SPEAKER_00,166018,166646
9983,SPEAKER_00,167071,177054
492,SPEAKER_01,172351,172843
425,SPEAKER_01,176578,177003
527,SPEAKER_00,177444,177971
6299,SPEAKER_00,178412,184711
492,SPEAKER_01,182436,182928
424,SPEAKER_01,184609,185033
3006,SPEAKER_00,185033,188039
1121,SPEAKER_01,187665,188786
3039,SPEAKER_00,188786,191825
17589,SPEAKER_01,191485,209074
425,SPEAKER_00,196052,196477
204,SPEAKER_00,205458,205662
