Duration (s),Speaker,start_ms,end_ms
2003,SPEAKER_01,263,2266
4380,SPEAKER_01,19210,23590
747,SPEAKER_00,23726,24473
1392,SPEAKER_01,24711,26103
1222,SPEAKER_00,27071,28293
3157,SPEAKER_01,28039,31196
1613,SPEAKER_01,32079,33692
1851,SPEAKER_00,34252,36103
187,SPEAKER_00,36171,36358
1138,SPEAKER_00,36663,37801
5093,SPEAKER_01,37937,43030
4193,SPEAKER_00,43285,47478
2258,SPEAKER_01,47699,49957
798,SPEAKER_01,50602,51400
1324,SPEAKER_01,51825,53149
3310,SPEAKER_00,53438,56748
2410,SPEAKER_01,56477,58887
2241,SPEAKER_00,59159,61400
357,SPEAKER_01,61383,61740
1817,SPEAKER_01,62283,64100
1223,SPEAKER_01,64405,65628
4398,SPEAKER_00,65814,70212
2428,SPEAKER_00,70772,73200
628,SPEAKER_01,73200,73828
119,SPEAKER_00,73828,73947
407,SPEAKER_00,73981,74388
1341,SPEAKER_00,74898,76239
1392,SPEAKER_01,76273,77665
730,SPEAKER_01,78259,78989
1613,SPEAKER_01,79651,81264
1137,SPEAKER_00,81757,82894
442,SPEAKER_01,82894,83336
119,SPEAKER_00,83336,83455
2275,SPEAKER_00,83641,85916
4295,SPEAKER_01,85696,89991
4397,SPEAKER_01,90331,94728
967,SPEAKER_01,94898,95865
6078,SPEAKER_01,96341,102419
2088,SPEAKER_00,102657,104745
425,SPEAKER_00,105916,106341
1308,SPEAKER_01,105950,107258
3582,SPEAKER_00,107614,111196
476,SPEAKER_01,109804,110280
3820,SPEAKER_01,110891,114711
3990,SPEAKER_00,115033,119023
3667,SPEAKER_00,119550,123217
458,SPEAKER_01,123268,123726
5229,SPEAKER_00,123964,129193
1901,SPEAKER_01,129584,131485
662,SPEAKER_01,131825,132487
7046,SPEAKER_00,133200,140246
6570,SPEAKER_00,140772,147342
663,SPEAKER_01,144303,144966
3293,SPEAKER_01,146392,149685
6418,SPEAKER_00,149991,156409
8811,SPEAKER_00,157105,165916
425,SPEAKER_01,162181,162606
424,SPEAKER_01,165730,166154
6944,SPEAKER_00,166307,173251
493,SPEAKER_01,171162,171655
1273,SPEAKER_00,173743,175016
2225,SPEAKER_01,175016,177241
2920,SPEAKER_01,177563,180483
3192,SPEAKER_01,180585,183777
322,SPEAKER_00,184100,184422
1884,SPEAKER_00,184915,186799
7029,SPEAKER_00,186918,193947
221,SPEAKER_01,188599,188820
16,SPEAKER_01,188837,188853
527,SPEAKER_01,192045,192572
5314,SPEAKER_01,193573,198887
5671,SPEAKER_00,199804,205475
390,SPEAKER_01,204779,205169
3141,SPEAKER_00,205780,208921
2156,SPEAKER_00,209176,211332
5568,SPEAKER_00,211893,217461
442,SPEAKER_01,217444,217886
34,SPEAKER_00,217478,217512
4159,SPEAKER_00,218073,222232
442,SPEAKER_01,222232,222674
1698,SPEAKER_00,222249,223947
357,SPEAKER_01,223743,224100
594,SPEAKER_00,224745,225339
1715,SPEAKER_00,226816,228531
3871,SPEAKER_00,228870,232741
764,SPEAKER_00,233556,234320
543,SPEAKER_01,234541,235084
4771,SPEAKER_00,235084,239855
408,SPEAKER_01,239855,240263
2530,SPEAKER_00,240483,243013
1052,SPEAKER_00,243234,244286
679,SPEAKER_00,245509,246188
6452,SPEAKER_00,246578,253030
2495,SPEAKER_00,253421,255916
475,SPEAKER_01,254677,255152
