Duration (s),Speaker,start_ms,end_ms
1873,SPEAKER_01,497,2370
6412,SPEAKER_01,19212,25624
760,SPEAKER_00,24122,24882
5636,SPEAKER_00,25624,31260
1198,SPEAKER_01,27092,28290
1383,SPEAKER_01,31379,32762
1890,SPEAKER_00,33201,35091
3426,SPEAKER_01,35057,38483
5097,SPEAKER_00,38567,43664
1198,SPEAKER_01,43596,44794
2278,SPEAKER_00,44845,47123
1552,SPEAKER_01,47039,48591
1401,SPEAKER_00,48591,49992
2143,SPEAKER_01,50059,52202
3966,SPEAKER_00,51561,55527
1114,SPEAKER_01,55020,56134
2075,SPEAKER_00,56624,58699
4320,SPEAKER_01,58699,63019
2683,SPEAKER_00,61517,64200
5838,SPEAKER_01,63762,69600
2920,SPEAKER_00,70309,73229
270,SPEAKER_01,70900,71170
9315,SPEAKER_01,73161,82476
9703,SPEAKER_00,82476,92179
7205,SPEAKER_01,90897,98102
22764,SPEAKER_00,98423,121187
7020,SPEAKER_01,121187,128207
6143,SPEAKER_00,128376,134519
607,SPEAKER_01,132595,133202
1468,SPEAKER_01,134012,135480
4607,SPEAKER_00,135885,140492
4320,SPEAKER_01,139682,144002
692,SPEAKER_00,144002,144694
4877,SPEAKER_01,144897,149774
6952,SPEAKER_00,149774,156726
6075,SPEAKER_01,156726,162801
40517,SPEAKER_00,162885,203402
7982,SPEAKER_00,204077,212059
928,SPEAKER_01,212194,213122
16740,SPEAKER_00,213578,230318
624,SPEAKER_01,217375,217999
9518,SPEAKER_01,230402,239920
35489,SPEAKER_00,240240,275729
388,SPEAKER_01,255006,255394
219,SPEAKER_01,256002,256221
19744,SPEAKER_00,276454,296198
13568,SPEAKER_01,296535,310103
439,SPEAKER_00,299185,299624
422,SPEAKER_00,302104,302526
3746,SPEAKER_00,305209,308955
32754,SPEAKER_00,310677,343431
67,SPEAKER_01,341457,341524
709,SPEAKER_01,343431,344140
5586,SPEAKER_00,344612,350198
540,SPEAKER_01,350569,351109
17027,SPEAKER_00,351801,368828
2632,SPEAKER_01,369233,371865
894,SPEAKER_00,371950,372844
13044,SPEAKER_01,373317,386361
17955,SPEAKER_00,386547,404502
1181,SPEAKER_01,404502,405683
3004,SPEAKER_00,405683,408687
1080,SPEAKER_01,408484,409564
337,SPEAKER_00,410560,410897
3375,SPEAKER_00,411809,415184
1805,SPEAKER_01,415184,416989
3071,SPEAKER_00,417276,420347
1721,SPEAKER_01,420314,422035
12673,SPEAKER_00,422035,434708
30577,SPEAKER_01,429494,460071
3392,SPEAKER_00,460797,464189
23051,SPEAKER_01,464189,487240
877,SPEAKER_00,484253,485130
692,SPEAKER_00,487493,488185
37732,SPEAKER_01,488185,525917
304,SPEAKER_00,492218,492522
489,SPEAKER_00,507473,507962
439,SPEAKER_00,512164,512603
2345,SPEAKER_00,525310,527655
38610,SPEAKER_01,527774,566384
1046,SPEAKER_00,553795,554841
675,SPEAKER_00,566384,567059
34087,SPEAKER_01,567059,601146
9939,SPEAKER_00,601146,611085
5248,SPEAKER_01,603441,608689
6295,SPEAKER_01,612165,618460
3696,SPEAKER_00,619101,622797
11694,SPEAKER_01,622797,634491
202,SPEAKER_00,623438,623640
540,SPEAKER_00,627387,627927
1147,SPEAKER_00,634559,635706
2447,SPEAKER_01,635537,637984
3763,SPEAKER_00,642186,645949
1958,SPEAKER_01,645915,647873
4337,SPEAKER_00,648312,652649
2700,SPEAKER_00,653914,656614
7577,SPEAKER_01,656378,663955
16301,SPEAKER_01,665153,681454
4573,SPEAKER_01,682197,686770
709,SPEAKER_00,687175,687884
6935,SPEAKER_01,687884,694819
2869,SPEAKER_00,695224,698093
13314,SPEAKER_01,698009,711323
490,SPEAKER_00,702497,702987
10750,SPEAKER_00,711677,722427
169,SPEAKER_01,718343,718512
16318,SPEAKER_01,721212,737530
3780,SPEAKER_00,736770,740550
3611,SPEAKER_01,739842,743453
35370,SPEAKER_00,742187,777557
2042,SPEAKER_01,777962,780004
3527,SPEAKER_00,780257,783784
743,SPEAKER_01,781320,782063
10800,SPEAKER_01,783497,794297
1721,SPEAKER_00,784662,786383
641,SPEAKER_00,787632,788273
1383,SPEAKER_00,790467,791850
473,SPEAKER_00,794297,794770
9905,SPEAKER_00,795597,805502
1097,SPEAKER_01,805620,806717
3476,SPEAKER_00,807173,810649
2835,SPEAKER_01,810649,813484
16740,SPEAKER_00,811493,828233
101,SPEAKER_01,814345,814446
84,SPEAKER_01,819981,820065
2228,SPEAKER_01,828317,830545
26292,SPEAKER_00,830730,857022
1384,SPEAKER_01,846205,847589
4117,SPEAKER_00,857680,861797
590,SPEAKER_01,862439,863029
5299,SPEAKER_00,863029,868328
337,SPEAKER_01,864059,864396
3747,SPEAKER_01,869070,872817
2312,SPEAKER_00,872462,874774
2886,SPEAKER_01,874774,877660
9129,SPEAKER_00,878774,887903
1266,SPEAKER_01,887903,889169
4590,SPEAKER_00,889455,894045
1434,SPEAKER_01,894012,895446
658,SPEAKER_00,895345,896003
4472,SPEAKER_00,896678,901150
1046,SPEAKER_00,901943,902989
456,SPEAKER_01,902989,903445
4455,SPEAKER_00,903647,908102
5384,SPEAKER_01,907815,913199
6328,SPEAKER_00,913199,919527
287,SPEAKER_01,914110,914397
10868,SPEAKER_00,920235,931103
7256,SPEAKER_01,931103,938359
439,SPEAKER_00,936334,936773
13534,SPEAKER_00,938916,952450
759,SPEAKER_01,950695,951454
2278,SPEAKER_01,952652,954930
23254,SPEAKER_00,955099,978353
1417,SPEAKER_01,978353,979770
6953,SPEAKER_00,980074,987027
321,SPEAKER_01,987482,987803
2835,SPEAKER_00,988191,991026
4523,SPEAKER_01,989119,993642
12555,SPEAKER_00,993945,1006500
472,SPEAKER_01,1006332,1006804
47200,SPEAKER_00,1007580,1054780
1400,SPEAKER_01,1055185,1056585
827,SPEAKER_00,1056720,1057547
962,SPEAKER_01,1057311,1058273
10041,SPEAKER_00,1058273,1068314
574,SPEAKER_01,1068381,1068955
34627,SPEAKER_00,1069934,1104561
388,SPEAKER_01,1081139,1081527
506,SPEAKER_01,1083569,1084075
422,SPEAKER_01,1101051,1101473
15930,SPEAKER_01,1104764,1120694
2110,SPEAKER_00,1121132,1123242
18208,SPEAKER_01,1123427,1141635
507,SPEAKER_00,1128540,1129047
4253,SPEAKER_00,1142091,1146344
4641,SPEAKER_01,1146428,1151069
43790,SPEAKER_01,1151727,1195517
1013,SPEAKER_00,1195635,1196648
38779,SPEAKER_01,1196648,1235427
37547,SPEAKER_01,1236186,1273733
1215,SPEAKER_00,1273868,1275083
15170,SPEAKER_01,1274999,1290169
13315,SPEAKER_00,1290304,1303619
220,SPEAKER_01,1295805,1296025
5889,SPEAKER_01,1302640,1308529
24738,SPEAKER_00,1308884,1333622
557,SPEAKER_01,1317355,1317912
101,SPEAKER_01,1325286,1325387
29835,SPEAKER_01,1333319,1363154
3240,SPEAKER_00,1362934,1366174
607,SPEAKER_01,1366377,1366984
18697,SPEAKER_01,1367862,1386559
7391,SPEAKER_00,1384838,1392229
19575,SPEAKER_01,1391385,1410960
17449,SPEAKER_00,1410910,1428359
8826,SPEAKER_00,1429337,1438163
3341,SPEAKER_00,1439260,1442601
23946,SPEAKER_00,1443411,1467357
9315,SPEAKER_01,1467272,1476587
35995,SPEAKER_00,1476587,1512582
220,SPEAKER_01,1479540,1479760
388,SPEAKER_01,1485835,1486223
84,SPEAKER_01,1492754,1492838
1941,SPEAKER_01,1512278,1514219
12841,SPEAKER_00,1514219,1527060
9619,SPEAKER_01,1527364,1536983
304,SPEAKER_00,1529220,1529524
19609,SPEAKER_00,1537624,1557233
2194,SPEAKER_01,1548289,1550483
12420,SPEAKER_01,1556946,1569366
726,SPEAKER_00,1561232,1561958
37294,SPEAKER_00,1569619,1606913
455,SPEAKER_01,1588570,1589025
455,SPEAKER_01,1595590,1596045
82502,SPEAKER_01,1606913,1689415
18208,SPEAKER_01,1690512,1708720
11020,SPEAKER_00,1709310,1720330
220,SPEAKER_01,1719064,1719284
25228,SPEAKER_01,1720752,1745980
10648,SPEAKER_00,1746216,1756864
219,SPEAKER_01,1754654,1754873
18815,SPEAKER_01,1755734,1774549
9737,SPEAKER_00,1774650,1784387
759,SPEAKER_01,1784016,1784775
15272,SPEAKER_01,1785484,1800756
4843,SPEAKER_00,1801043,1805886
10362,SPEAKER_01,1805852,1816214
1434,SPEAKER_00,1816214,1817648
1721,SPEAKER_01,1817226,1818947
4945,SPEAKER_00,1818947,1823892
38981,SPEAKER_01,1823858,1862839
5873,SPEAKER_00,1863784,1869657
11830,SPEAKER_01,1869454,1881284
304,SPEAKER_00,1875495,1875799
28569,SPEAKER_01,1882043,1910612
220,SPEAKER_00,1906309,1906529
18225,SPEAKER_00,1908739,1926964
7374,SPEAKER_01,1926374,1933748
9298,SPEAKER_01,1934575,1943873
21026,SPEAKER_00,1942253,1963279
321,SPEAKER_01,1946303,1946624
573,SPEAKER_01,1951332,1951905
6193,SPEAKER_01,1963279,1969472
5653,SPEAKER_00,1969675,1975328
5855,SPEAKER_01,1974282,1980137
2177,SPEAKER_00,1980137,1982314
11239,SPEAKER_01,1981150,1992389
20317,SPEAKER_00,1993334,2013651
337,SPEAKER_01,2002058,2002395
27422,SPEAKER_01,2013651,2041073
6767,SPEAKER_01,2041680,2048447
5249,SPEAKER_00,2047215,2052464
405,SPEAKER_00,2053172,2053577
3459,SPEAKER_00,2054725,2058184
9247,SPEAKER_00,2059450,2068697
11643,SPEAKER_01,2068107,2079750
2092,SPEAKER_00,2079835,2081927
7594,SPEAKER_00,2082754,2090348
422,SPEAKER_01,2088154,2088576
21263,SPEAKER_01,2090162,2111425
185,SPEAKER_00,2099157,2099342
8893,SPEAKER_00,2111425,2120318
203,SPEAKER_01,2116757,2116960
2632,SPEAKER_01,2120605,2123237
7830,SPEAKER_00,2123136,2130966
371,SPEAKER_01,2125431,2125802
34880,SPEAKER_01,2130764,2165644
472,SPEAKER_00,2162320,2162792
8893,SPEAKER_00,2166302,2175195
1198,SPEAKER_01,2172293,2173491
14260,SPEAKER_01,2175195,2189455
607,SPEAKER_00,2179077,2179684
17060,SPEAKER_00,2189590,2206650
557,SPEAKER_01,2200255,2200812
236,SPEAKER_01,2203984,2204220
8589,SPEAKER_01,2206313,2214902
202,SPEAKER_00,2207393,2207595
473,SPEAKER_00,2214902,2215375
14040,SPEAKER_00,2216252,2230292
5147,SPEAKER_00,2231490,2236637
540,SPEAKER_01,2232402,2232942
16098,SPEAKER_01,2236992,2253090
371,SPEAKER_00,2246273,2246644
9366,SPEAKER_00,2253799,2263165
9382,SPEAKER_01,2262659,2272041
1991,SPEAKER_00,2272311,2274302
1974,SPEAKER_01,2273661,2275635
6446,SPEAKER_00,2275180,2281626
11340,SPEAKER_00,2282520,2293860
219,SPEAKER_01,2283246,2283465
9366,SPEAKER_01,2293776,2303142
877,SPEAKER_00,2298383,2299260
8437,SPEAKER_00,2302315,2310752
2565,SPEAKER_01,2311748,2314313
11813,SPEAKER_00,2312001,2323814
709,SPEAKER_01,2318042,2318751
28552,SPEAKER_01,2323898,2352450
28299,SPEAKER_00,2353041,2381340
692,SPEAKER_01,2368684,2369376
42981,SPEAKER_00,2382066,2425047
827,SPEAKER_01,2391550,2392377
776,SPEAKER_01,2397642,2398418
371,SPEAKER_01,2412323,2412694
1958,SPEAKER_01,2418870,2420828
4776,SPEAKER_01,2425654,2430430
5400,SPEAKER_00,2430700,2436100
11829,SPEAKER_01,2434210,2446039
4843,SPEAKER_00,2446579,2451422
7678,SPEAKER_00,2452097,2459775
2598,SPEAKER_01,2458679,2461277
10277,SPEAKER_00,2461345,2471622
1570,SPEAKER_01,2470710,2472280
7729,SPEAKER_00,2472280,2480009
978,SPEAKER_01,2479469,2480447
19254,SPEAKER_00,2480920,2500174
371,SPEAKER_01,2493036,2493407
3864,SPEAKER_01,2498487,2502351
2160,SPEAKER_00,2501659,2503819
4522,SPEAKER_00,2504714,2509236
3173,SPEAKER_01,2508375,2511548
354,SPEAKER_00,2510063,2510417
22629,SPEAKER_01,2512223,2534852
4033,SPEAKER_00,2532861,2536894
8049,SPEAKER_01,2536287,2544336
1822,SPEAKER_00,2543965,2545787
7880,SPEAKER_01,2545889,2553769
287,SPEAKER_00,2552200,2552487
5366,SPEAKER_00,2553719,2559085
86518,SPEAKER_01,2557313,2643831
405,SPEAKER_00,2605002,2605407
776,SPEAKER_00,2641300,2642076
5265,SPEAKER_00,2644135,2649400
11627,SPEAKER_01,2648978,2660605
1164,SPEAKER_00,2660605,2661769
8066,SPEAKER_01,2661769,2669835
2397,SPEAKER_00,2669835,2672232
19508,SPEAKER_01,2671776,2691284
5164,SPEAKER_00,2691925,2697089
3257,SPEAKER_01,2695418,2698675
3257,SPEAKER_00,2698793,2702050
17634,SPEAKER_01,2700801,2718435
21499,SPEAKER_00,2718570,2740069
2919,SPEAKER_01,2724443,2727362
371,SPEAKER_01,2732307,2732678
371,SPEAKER_01,2736880,2737251
13702,SPEAKER_01,2739968,2753670
270,SPEAKER_00,2745824,2746094
34,SPEAKER_00,2747123,2747157
4320,SPEAKER_00,2753957,2758277
25195,SPEAKER_01,2757889,2783084
34,SPEAKER_00,2777987,2778021
1485,SPEAKER_00,2783235,2784720
2363,SPEAKER_01,2784720,2787083
8994,SPEAKER_00,2787201,2796195
4033,SPEAKER_01,2795487,2799520
33548,SPEAKER_00,2798676,2832224
455,SPEAKER_01,2803739,2804194
6058,SPEAKER_01,2832831,2838889
61307,SPEAKER_00,2839024,2900331
371,SPEAKER_01,2859983,2860354
1552,SPEAKER_01,2867594,2869146
169,SPEAKER_01,2872622,2872791
338,SPEAKER_01,2874529,2874867
1839,SPEAKER_01,2900922,2902761
7880,SPEAKER_00,2903200,2911080
523,SPEAKER_01,2903740,2904263
9180,SPEAKER_00,2912228,2921408
3949,SPEAKER_01,2919805,2923754
1569,SPEAKER_00,2923416,2924985
2194,SPEAKER_00,2925745,2927939
1823,SPEAKER_00,2928664,2930487
287,SPEAKER_00,2931212,2931499
40702,SPEAKER_00,2932208,2972910
6142,SPEAKER_01,2973113,2979255
34,SPEAKER_00,2975070,2975104
15339,SPEAKER_00,2979340,2994679
354,SPEAKER_01,2987963,2988317
962,SPEAKER_01,2992536,2993498
2700,SPEAKER_01,2995320,2998020
1536,SPEAKER_00,2998206,2999742
11762,SPEAKER_01,2999742,3011504
16,SPEAKER_00,3007994,3008010
6193,SPEAKER_00,3009209,3015402
12893,SPEAKER_01,3014507,3027400
9552,SPEAKER_00,3027467,3037019
4050,SPEAKER_01,3036681,3040731
4775,SPEAKER_00,3041457,3046232
760,SPEAKER_01,3043802,3044562
10227,SPEAKER_01,3046232,3056459
186,SPEAKER_00,3053674,3053860
