Duration (s),Speaker,start_ms,end_ms
2003,SPEAKER_00,263,2266
4160,SPEAKER_00,19193,23353
731,SPEAKER_01,23488,24219
849,SPEAKER_00,24303,25152
1800,SPEAKER_01,25865,27665
3616,SPEAKER_00,27597,31213
7538,SPEAKER_00,31757,39295
662,SPEAKER_01,37733,38395
1443,SPEAKER_01,39601,41044
1528,SPEAKER_00,41027,42555
2444,SPEAKER_00,42606,45050
6604,SPEAKER_00,45322,51926
2648,SPEAKER_00,52640,55288
815,SPEAKER_01,55577,56392
6910,SPEAKER_00,56392,63302
1460,SPEAKER_00,63607,65067
2445,SPEAKER_00,65492,67937
4194,SPEAKER_01,68174,72368
3735,SPEAKER_00,72215,75950
10526,SPEAKER_01,76052,86578
2156,SPEAKER_01,87258,89414
9423,SPEAKER_00,89176,98599
5858,SPEAKER_00,99006,104864
1528,SPEAKER_00,105764,107292
11087,SPEAKER_01,107546,118633
3633,SPEAKER_01,118701,122334
3685,SPEAKER_01,122707,126392
1715,SPEAKER_00,127105,128820
11630,SPEAKER_00,129329,140959
169,SPEAKER_01,140314,140483
3277,SPEAKER_01,141994,145271
3583,SPEAKER_00,145067,148650
16418,SPEAKER_00,149685,166103
611,SPEAKER_01,166799,167410
612,SPEAKER_00,167410,168022
4788,SPEAKER_00,168259,173047
2802,SPEAKER_01,173505,176307
2411,SPEAKER_00,176035,178446
5619,SPEAKER_00,179482,185101
4838,SPEAKER_01,185594,190432
2461,SPEAKER_00,190382,192843
1545,SPEAKER_01,193251,194796
1087,SPEAKER_00,194524,195611
357,SPEAKER_00,195865,196222
3124,SPEAKER_01,195984,199108
5552,SPEAKER_00,198955,204507
1324,SPEAKER_01,204066,205390
1358,SPEAKER_00,205373,206731
18879,SPEAKER_00,207173,226052
4770,SPEAKER_01,227275,232045
4279,SPEAKER_00,232045,236324
5212,SPEAKER_00,236765,241977
6876,SPEAKER_00,242538,249414
441,SPEAKER_01,249414,249855
6112,SPEAKER_00,250246,256358
170,SPEAKER_01,257359,257529
4618,SPEAKER_01,257648,262266
4838,SPEAKER_00,261910,266748
2225,SPEAKER_00,267342,269567
1154,SPEAKER_01,269584,270738
1120,SPEAKER_00,270823,271943
2275,SPEAKER_01,273556,275831
5603,SPEAKER_00,275475,281078
15212,SPEAKER_00,282877,298089
645,SPEAKER_01,298548,299193
9745,SPEAKER_00,299142,308887
1240,SPEAKER_01,309057,310297
