Duration (s),Speaker,start_ms,end_ms
1873,SPEAKER_01,497,2370
7644,SPEAKER_01,19212,26856
675,SPEAKER_00,23937,24612
1283,SPEAKER_00,27396,28679
1181,SPEAKER_01,28139,29320
2953,SPEAKER_00,29320,32273
4269,SPEAKER_01,32425,36694
2784,SPEAKER_00,37032,39816
2531,SPEAKER_01,39799,42330
6666,SPEAKER_00,42634,49300
1266,SPEAKER_01,46954,48220
4590,SPEAKER_01,49300,53890
34,SPEAKER_00,50481,50515
18512,SPEAKER_00,53890,72402
371,SPEAKER_01,56742,57113
6919,SPEAKER_01,72233,79152
5485,SPEAKER_00,77582,83067
4135,SPEAKER_01,82999,87134
759,SPEAKER_00,87269,88028
2110,SPEAKER_01,87994,90104
3155,SPEAKER_00,90104,93259
6801,SPEAKER_01,93428,100229
506,SPEAKER_00,95048,95554
33041,SPEAKER_00,100853,133894
439,SPEAKER_01,133894,134333
9095,SPEAKER_00,134924,144019
405,SPEAKER_01,141842,142247
3814,SPEAKER_01,144036,147850
23625,SPEAKER_00,148154,171779
1013,SPEAKER_01,152777,153790
5400,SPEAKER_01,170108,175508
9585,SPEAKER_00,174006,183591
253,SPEAKER_01,181532,181785
4168,SPEAKER_01,183794,187962
19676,SPEAKER_00,187219,206895
2092,SPEAKER_01,206997,209089
18546,SPEAKER_00,209241,227787
1232,SPEAKER_01,210000,211232
506,SPEAKER_01,212684,213190
1097,SPEAKER_01,228816,229913
25549,SPEAKER_00,230115,255664
422,SPEAKER_01,239380,239802
1063,SPEAKER_01,255664,256727
43605,SPEAKER_00,257520,301125
2177,SPEAKER_01,301480,303657
7341,SPEAKER_00,303842,311183
4725,SPEAKER_01,310221,314946
18495,SPEAKER_00,313410,331905
304,SPEAKER_01,318186,318490
3072,SPEAKER_01,331517,334589
47115,SPEAKER_00,333795,380910
152,SPEAKER_01,353877,354029
337,SPEAKER_01,354957,355294
1029,SPEAKER_01,377367,378396
1822,SPEAKER_01,380472,382294
10648,SPEAKER_00,382649,393297
608,SPEAKER_01,387137,387745
236,SPEAKER_01,392740,392976
7054,SPEAKER_00,394056,401110
1823,SPEAKER_01,401734,403557
35251,SPEAKER_00,403034,438285
3797,SPEAKER_01,438370,442167
2042,SPEAKER_00,442133,444175
4776,SPEAKER_01,443820,448596
5704,SPEAKER_00,448562,454266
219,SPEAKER_01,450959,451178
10040,SPEAKER_01,454435,464475
2700,SPEAKER_00,455414,458114
102,SPEAKER_00,459210,459312
8674,SPEAKER_00,463125,471799
624,SPEAKER_01,465066,465690
59096,SPEAKER_01,469994,529090
624,SPEAKER_00,478904,479528
490,SPEAKER_00,500014,500504
2497,SPEAKER_00,529225,531722
99816,SPEAKER_01,531722,631538
591,SPEAKER_00,557288,557879
17,SPEAKER_00,579310,579327
