Duration (s),Speaker,start_ms,end_ms
2020,SPEAKER_01,246,2266
4363,SPEAKER_01,19227,23590
679,SPEAKER_00,23624,24303
4194,SPEAKER_01,24303,28497
1409,SPEAKER_00,29091,30500
985,SPEAKER_01,30415,31400
2140,SPEAKER_00,31926,34066
8218,SPEAKER_01,34405,42623
2869,SPEAKER_00,43268,46137
1816,SPEAKER_01,45526,47342
5246,SPEAKER_00,48073,53319
10628,SPEAKER_01,53964,64592
5840,SPEAKER_01,64830,70670
730,SPEAKER_00,70789,71519
272,SPEAKER_01,71298,71570
1918,SPEAKER_00,71570,73488
1409,SPEAKER_01,74049,75458
390,SPEAKER_00,75594,75984
9236,SPEAKER_01,76069,85305
10612,SPEAKER_00,86544,97156
441,SPEAKER_01,97156,97597
4177,SPEAKER_00,97597,101774
475,SPEAKER_01,102385,102860
509,SPEAKER_00,102385,102894
7029,SPEAKER_00,103217,110246
526,SPEAKER_01,110246,110772
2733,SPEAKER_00,111095,113828
5721,SPEAKER_00,114694,120415
407,SPEAKER_01,120059,120466
7216,SPEAKER_00,120466,127682
1477,SPEAKER_00,127954,129431
1953,SPEAKER_00,129753,131706
2683,SPEAKER_00,132062,134745
560,SPEAKER_01,134745,135305
7046,SPEAKER_00,135475,142521
2836,SPEAKER_00,142928,145764
1562,SPEAKER_01,146001,147563
7436,SPEAKER_00,147122,154558
883,SPEAKER_01,154422,155305
5382,SPEAKER_00,156324,161706
5025,SPEAKER_00,162555,167580
8778,SPEAKER_00,167699,176477
5145,SPEAKER_00,176612,181757
8150,SPEAKER_00,182045,190195
3582,SPEAKER_00,190857,194439
3752,SPEAKER_01,194405,198157
2513,SPEAKER_00,199312,201825
3667,SPEAKER_00,202538,206205
8880,SPEAKER_00,206748,215628
577,SPEAKER_00,216239,216816
1834,SPEAKER_00,216952,218786
441,SPEAKER_01,218684,219125
4940,SPEAKER_00,218803,223743
1494,SPEAKER_00,224151,225645
424,SPEAKER_01,225645,226069
7164,SPEAKER_00,226494,233658
933,SPEAKER_00,234134,235067
5569,SPEAKER_00,235509,241078
1376,SPEAKER_01,240432,241808
2461,SPEAKER_00,241808,244269
255,SPEAKER_01,244269,244524
51,SPEAKER_00,244286,244337
17,SPEAKER_00,244524,244541
3090,SPEAKER_00,245254,248344
10272,SPEAKER_01,247512,257784
11053,SPEAKER_01,259091,270144
1987,SPEAKER_01,270551,272538
4771,SPEAKER_01,272724,277495
6316,SPEAKER_00,277886,284202
628,SPEAKER_01,283879,284507
11681,SPEAKER_00,284558,296239
255,SPEAKER_01,290772,291027
101,SPEAKER_01,291061,291162
458,SPEAKER_01,294677,295135
18098,SPEAKER_01,296307,314405
51,SPEAKER_00,310874,310925
6876,SPEAKER_00,314558,321434
3209,SPEAKER_01,321604,324813
4024,SPEAKER_01,325118,329142
18371,SPEAKER_01,329634,348005
2988,SPEAKER_01,348056,351044
7826,SPEAKER_00,351893,359719
8218,SPEAKER_01,359702,367920
2818,SPEAKER_00,368616,371434
12207,SPEAKER_01,369567,381774
4211,SPEAKER_00,382843,387054
475,SPEAKER_01,385611,386086
2258,SPEAKER_00,387546,389804
934,SPEAKER_01,389719,390653
17,SPEAKER_00,390653,390670
1987,SPEAKER_00,390704,392691
1290,SPEAKER_01,392317,393607
34,SPEAKER_00,393607,393641
8760,SPEAKER_00,394083,402843
7402,SPEAKER_00,403319,410721
679,SPEAKER_01,404575,405254
7233,SPEAKER_01,408123,415356
866,SPEAKER_00,414405,415271
9134,SPEAKER_00,415916,425050
509,SPEAKER_01,416494,417003
5535,SPEAKER_01,425475,431010
3719,SPEAKER_00,431247,434966
6554,SPEAKER_00,435339,441893
408,SPEAKER_01,441926,442334
6315,SPEAKER_00,442589,448904
1919,SPEAKER_00,449142,451061
6724,SPEAKER_00,451247,457971
1341,SPEAKER_01,457224,458565
985,SPEAKER_00,458565,459550
1324,SPEAKER_01,458599,459923
3566,SPEAKER_00,459872,463438
1103,SPEAKER_01,463438,464541
1528,SPEAKER_00,464575,466103
2648,SPEAKER_01,465645,468293
1171,SPEAKER_00,468582,469753
3056,SPEAKER_00,470297,473353
594,SPEAKER_01,473115,473709
5382,SPEAKER_00,474490,479872
6179,SPEAKER_00,480365,486544
476,SPEAKER_01,486544,487020
2665,SPEAKER_00,487020,489685
4703,SPEAKER_01,489719,494422
9780,SPEAKER_00,495169,504949
8913,SPEAKER_00,505339,514252
1732,SPEAKER_01,506307,508039
883,SPEAKER_01,510534,511417
7555,SPEAKER_01,514439,521994
1851,SPEAKER_00,518972,520823
12462,SPEAKER_00,522419,534881
2003,SPEAKER_01,529533,531536
2326,SPEAKER_01,534185,536511
