Duration (s),Speaker,start_ms,end_ms
2020,SPEAKER_01,246,2266
4584,SPEAKER_01,19210,23794
730,SPEAKER_00,23879,24609
679,SPEAKER_01,24609,25288
17,SPEAKER_01,25730,25747
441,SPEAKER_00,25747,26188
1120,SPEAKER_01,26477,27597
815,SPEAKER_01,27750,28565
1817,SPEAKER_00,28989,30806
1443,SPEAKER_00,31757,33200
6180,SPEAKER_01,33336,39516
4584,SPEAKER_01,39974,44558
866,SPEAKER_00,44643,45509
2462,SPEAKER_01,45543,48005
237,SPEAKER_01,48039,48276
2174,SPEAKER_00,48123,50297
1443,SPEAKER_01,50297,51740
5654,SPEAKER_00,52164,57818
441,SPEAKER_01,57750,58191
4007,SPEAKER_00,58191,62198
527,SPEAKER_01,62130,62657
2037,SPEAKER_00,62657,64694
8064,SPEAKER_01,64813,72877
1902,SPEAKER_00,72911,74813
781,SPEAKER_01,74575,75356
5450,SPEAKER_00,75356,80806
883,SPEAKER_01,80093,80976
2784,SPEAKER_00,80976,83760
3786,SPEAKER_01,82894,86680
220,SPEAKER_00,86494,86714
1579,SPEAKER_01,86714,88293
2343,SPEAKER_00,89074,91417
459,SPEAKER_01,92198,92657
119,SPEAKER_00,93047,93166
5500,SPEAKER_01,93353,98853
645,SPEAKER_00,96341,96986
696,SPEAKER_00,99091,99787
17,SPEAKER_01,99787,99804
34,SPEAKER_00,99804,99838
17,SPEAKER_01,99838,99855
476,SPEAKER_00,99855,100331
509,SPEAKER_01,101095,101604
2343,SPEAKER_01,102079,104422
1783,SPEAKER_00,104745,106528
9134,SPEAKER_00,106765,115899
306,SPEAKER_01,107716,108022
255,SPEAKER_01,111519,111774
459,SPEAKER_01,115899,116358
6044,SPEAKER_00,116528,122572
17,SPEAKER_01,122538,122555
2428,SPEAKER_01,122572,125000
2903,SPEAKER_00,125000,127903
526,SPEAKER_01,127648,128174
3990,SPEAKER_00,128174,132164
492,SPEAKER_01,130042,130534
2785,SPEAKER_01,132011,134796
5687,SPEAKER_00,134881,140568
1257,SPEAKER_01,140449,141706
306,SPEAKER_00,141553,141859
848,SPEAKER_01,141859,142707
5450,SPEAKER_00,142724,148174
8166,SPEAKER_00,149142,157308
832,SPEAKER_01,152470,153302
2869,SPEAKER_01,156782,159651
849,SPEAKER_00,159719,160568
475,SPEAKER_00,161061,161536
1511,SPEAKER_00,162402,163913
747,SPEAKER_01,164100,164847
459,SPEAKER_00,165050,165509
2004,SPEAKER_00,166018,168022
2751,SPEAKER_00,168378,171129
1800,SPEAKER_01,170857,172657
510,SPEAKER_00,172741,173251
543,SPEAKER_01,173098,173641
8710,SPEAKER_00,173641,182351
5603,SPEAKER_00,182758,188361
2055,SPEAKER_01,186731,188786
7147,SPEAKER_00,188786,195933
3668,SPEAKER_01,194354,198022
288,SPEAKER_01,198039,198327
305,SPEAKER_00,198073,198378
85,SPEAKER_01,198378,198463
4533,SPEAKER_01,198480,203013
9016,SPEAKER_00,203624,212640
8269,SPEAKER_01,212809,221078
2835,SPEAKER_00,221587,224422
493,SPEAKER_01,224354,224847
17,SPEAKER_00,224456,224473
951,SPEAKER_00,224524,225475
6197,SPEAKER_00,226307,232504
9593,SPEAKER_00,232860,242453
526,SPEAKER_01,237190,237716
3396,SPEAKER_01,242962,246358
696,SPEAKER_00,244813,245509
7386,SPEAKER_00,246697,254083
645,SPEAKER_00,254507,255152
526,SPEAKER_00,255526,256052
424,SPEAKER_01,257020,257444
1138,SPEAKER_00,257461,258599
543,SPEAKER_01,258599,259142
17,SPEAKER_00,258667,258684
662,SPEAKER_00,259261,259923
17,SPEAKER_00,260008,260025
6197,SPEAKER_00,260059,266256
1749,SPEAKER_01,265016,266765
493,SPEAKER_00,267308,267801
1171,SPEAKER_01,267886,269057
594,SPEAKER_00,269210,269804
136,SPEAKER_00,269991,270127
14363,SPEAKER_00,270161,284524
1562,SPEAKER_01,284100,285662
5704,SPEAKER_00,285764,291468
340,SPEAKER_01,289125,289465
