Duration (s),Speaker,start_ms,end_ms
1857,SPEAKER_01,497,2354
1535,SPEAKER_00,15955,17490
4961,SPEAKER_01,19195,24156
844,SPEAKER_00,24156,25000
2160,SPEAKER_01,25304,27464
8032,SPEAKER_00,27464,35496
337,SPEAKER_01,31598,31935
2227,SPEAKER_01,35800,38027
6936,SPEAKER_00,38449,45385
2042,SPEAKER_01,45570,47612
3578,SPEAKER_00,47612,51190
4370,SPEAKER_00,52405,56775
1097,SPEAKER_01,53282,54379
12150,SPEAKER_01,56573,68723
1586,SPEAKER_00,62766,64352
5434,SPEAKER_00,68925,74359
506,SPEAKER_01,70529,71035
9247,SPEAKER_01,74292,83539
9399,SPEAKER_00,83843,93242
337,SPEAKER_01,89935,90272
44415,SPEAKER_01,92837,137252
861,SPEAKER_00,107012,107873
827,SPEAKER_00,124208,125035
5551,SPEAKER_00,137759,143310
28333,SPEAKER_01,143361,171694
320,SPEAKER_00,144475,144795
506,SPEAKER_00,149318,149824
860,SPEAKER_00,153942,154802
3848,SPEAKER_00,171812,175660
12454,SPEAKER_01,175997,188451
1182,SPEAKER_00,188940,190122
3645,SPEAKER_01,190223,193868
1637,SPEAKER_00,194155,195792
11070,SPEAKER_01,195792,206862
1535,SPEAKER_00,206980,208515
36838,SPEAKER_01,208701,245539
726,SPEAKER_00,245539,246265
3999,SPEAKER_01,246265,250264
405,SPEAKER_00,250602,251007
28518,SPEAKER_01,251007,279525
2514,SPEAKER_00,279762,282276
219,SPEAKER_01,281247,281466
21566,SPEAKER_01,282681,304247
118,SPEAKER_00,300113,300231
5940,SPEAKER_00,304484,310424
692,SPEAKER_01,308145,308837
8556,SPEAKER_01,311115,319671
43403,SPEAKER_01,320582,363985
776,SPEAKER_00,343229,344005
36754,SPEAKER_00,364390,401144
793,SPEAKER_01,372524,373317
17,SPEAKER_01,377772,377789
14226,SPEAKER_00,402308,416534
422,SPEAKER_01,405801,406223
1890,SPEAKER_01,408467,410357
287,SPEAKER_01,417124,417411
8455,SPEAKER_00,417900,426355
1131,SPEAKER_01,426017,427148
12656,SPEAKER_00,427131,439787
3408,SPEAKER_01,434742,438150
455,SPEAKER_01,439450,439905
557,SPEAKER_00,440935,441492
28772,SPEAKER_00,442099,470871
4674,SPEAKER_01,470348,475022
39487,SPEAKER_00,475242,514729
337,SPEAKER_01,483072,483409
372,SPEAKER_01,492015,492387
3071,SPEAKER_00,515472,518543
961,SPEAKER_01,518459,519420
2211,SPEAKER_00,519420,521631
3324,SPEAKER_01,521378,524702
1266,SPEAKER_01,525377,526643
23608,SPEAKER_00,527166,550774
743,SPEAKER_01,550656,551399
37783,SPEAKER_00,551399,589182
827,SPEAKER_01,561625,562452
1182,SPEAKER_01,579377,580559
2329,SPEAKER_01,582550,584879
21195,SPEAKER_00,589772,610967
13753,SPEAKER_00,611575,625328
489,SPEAKER_01,623202,623691
2042,SPEAKER_01,625328,627370
12741,SPEAKER_00,627420,640161
8471,SPEAKER_00,641106,649577
2902,SPEAKER_00,650168,653070
18832,SPEAKER_00,653695,672527
337,SPEAKER_01,656682,657019
422,SPEAKER_01,672392,672814
573,SPEAKER_00,673169,673742
2582,SPEAKER_01,673422,676004
354,SPEAKER_00,674721,675075
1046,SPEAKER_00,676004,677050
2211,SPEAKER_01,677016,679227
4860,SPEAKER_00,679311,684171
1266,SPEAKER_01,684120,685386
9821,SPEAKER_00,685589,695410
388,SPEAKER_01,688187,688575
3139,SPEAKER_01,695140,698279
36787,SPEAKER_00,698802,735589
4539,SPEAKER_01,735657,740196
5839,SPEAKER_00,740719,746558
40854,SPEAKER_00,747419,788273
3425,SPEAKER_01,786974,790399
7239,SPEAKER_00,791007,798246
1198,SPEAKER_01,797976,799174
1941,SPEAKER_00,799444,801385
1536,SPEAKER_01,801503,803039
6885,SPEAKER_00,803190,810075
962,SPEAKER_01,810244,811206
7476,SPEAKER_00,811206,818682
1165,SPEAKER_01,818175,819340
1603,SPEAKER_01,820302,821905
5738,SPEAKER_00,822124,827862
388,SPEAKER_01,826731,827119
98651,SPEAKER_01,827946,926597
287,SPEAKER_00,886890,887177
2919,SPEAKER_01,927762,930681
911,SPEAKER_00,931069,931980
24351,SPEAKER_01,931980,956331
15812,SPEAKER_00,957040,972852
827,SPEAKER_01,968194,969021
1873,SPEAKER_01,972599,974472
13753,SPEAKER_00,974539,988292
7644,SPEAKER_01,987803,995447
523,SPEAKER_00,989575,990098
17415,SPEAKER_00,994722,1012137
372,SPEAKER_01,1004880,1005252
355,SPEAKER_01,1007749,1008104
3173,SPEAKER_01,1011090,1014263
1485,SPEAKER_01,1015275,1016760
22680,SPEAKER_00,1016912,1039592
338,SPEAKER_01,1038090,1038428
9585,SPEAKER_01,1039457,1049042
5062,SPEAKER_00,1049127,1054189
8758,SPEAKER_01,1054307,1063065
4742,SPEAKER_00,1063487,1068229
77422,SPEAKER_01,1067740,1145162
19727,SPEAKER_01,1146462,1166189
13990,SPEAKER_00,1166340,1180330
27338,SPEAKER_01,1178136,1205474
102,SPEAKER_00,1189830,1189932
4336,SPEAKER_00,1205474,1209810
29312,SPEAKER_01,1209810,1239122
169,SPEAKER_00,1226162,1226331
1164,SPEAKER_00,1240287,1241451
10631,SPEAKER_01,1241046,1251677
3544,SPEAKER_00,1251964,1255508
489,SPEAKER_01,1254158,1254647
9686,SPEAKER_01,1255508,1265194
6328,SPEAKER_00,1265498,1271826
4152,SPEAKER_01,1270172,1274324
3510,SPEAKER_00,1273429,1276939
9197,SPEAKER_01,1276804,1286001
2430,SPEAKER_00,1286642,1289072
1670,SPEAKER_01,1289444,1291114
3510,SPEAKER_00,1290119,1293629
