Duration (s),Speaker,start_ms,end_ms
2020,SPEAKER_00,246,2266
4839,SPEAKER_00,19176,24015
730,SPEAKER_01,24015,24745
2292,SPEAKER_00,24745,27037
2224,SPEAKER_01,27139,29363
339,SPEAKER_00,29363,29702
51,SPEAKER_01,29702,29753
866,SPEAKER_00,30246,31112
17,SPEAKER_01,31112,31129
1273,SPEAKER_01,31502,32775
3837,SPEAKER_00,32724,36561
1291,SPEAKER_00,36663,37954
2512,SPEAKER_00,38073,40585
1154,SPEAKER_01,41723,42877
1578,SPEAKER_00,43438,45016
2852,SPEAKER_01,45356,48208
4567,SPEAKER_00,48208,52775
255,SPEAKER_01,52996,53251
764,SPEAKER_00,53013,53777
1935,SPEAKER_01,54151,56086
1444,SPEAKER_00,56595,58039
1477,SPEAKER_01,59210,60687
1393,SPEAKER_00,61298,62691
577,SPEAKER_01,62945,63522
5162,SPEAKER_00,63522,68684
1749,SPEAKER_01,69193,70942
2462,SPEAKER_00,70840,73302
2666,SPEAKER_01,73505,76171
629,SPEAKER_00,76595,77224
5264,SPEAKER_00,77393,82657
1680,SPEAKER_01,82657,84337
3634,SPEAKER_00,84320,87954
849,SPEAKER_01,88106,88955
2751,SPEAKER_00,88361,91112
3277,SPEAKER_01,91723,95000
1426,SPEAKER_00,95000,96426
9983,SPEAKER_01,97292,107275
1817,SPEAKER_00,99244,101061
3242,SPEAKER_00,107954,111196
849,SPEAKER_01,112079,112928
662,SPEAKER_01,113149,113811
2954,SPEAKER_01,114558,117512
628,SPEAKER_00,117886,118514
2309,SPEAKER_00,119821,122130
917,SPEAKER_01,121196,122113
442,SPEAKER_01,122130,122572
1358,SPEAKER_00,123404,124762
11256,SPEAKER_01,125288,136544
424,SPEAKER_00,131655,132079
3650,SPEAKER_01,137139,140789
475,SPEAKER_00,140755,141230
2462,SPEAKER_01,141230,143692
6689,SPEAKER_01,144490,151179
255,SPEAKER_00,150840,151095
2496,SPEAKER_01,151570,154066
441,SPEAKER_00,154066,154507
1036,SPEAKER_01,154575,155611
594,SPEAKER_00,156222,156816
7539,SPEAKER_01,157376,164915
696,SPEAKER_00,162589,163285
3209,SPEAKER_00,165084,168293
9848,SPEAKER_01,170483,180331
3481,SPEAKER_01,180517,183998
5450,SPEAKER_00,184864,190314
5942,SPEAKER_01,190942,196884
1664,SPEAKER_00,196918,198582
798,SPEAKER_01,198684,199482
696,SPEAKER_00,199057,199753
1630,SPEAKER_00,200229,201859
1647,SPEAKER_01,202266,203913
1528,SPEAKER_00,204269,205797
323,SPEAKER_01,205933,206256
458,SPEAKER_00,206443,206901
2513,SPEAKER_00,207461,209974
2428,SPEAKER_01,210076,212504
8013,SPEAKER_00,212657,220670
6485,SPEAKER_00,220993,227478
476,SPEAKER_01,228225,228701
9168,SPEAKER_00,228701,237869
645,SPEAKER_01,237461,238106
