Duration (s),Speaker,start_ms,end_ms
1873,SPEAKER_00,497,2370
4607,SPEAKER_00,19212,23819
742,SPEAKER_01,23954,24696
2295,SPEAKER_00,24848,27143
1130,SPEAKER_01,27464,28594
1451,SPEAKER_00,28679,30130
3999,SPEAKER_01,30569,34568
2615,SPEAKER_00,34737,37352
8572,SPEAKER_01,37538,46110
14192,SPEAKER_00,42128,56320
14344,SPEAKER_01,55645,69989
7611,SPEAKER_00,69381,76992
237,SPEAKER_01,71895,72132
8252,SPEAKER_01,77093,85345
3223,SPEAKER_00,83151,86374
1620,SPEAKER_01,86374,87994
2076,SPEAKER_00,87994,90070
7459,SPEAKER_01,90070,97529
979,SPEAKER_00,90812,91791
3003,SPEAKER_00,96989,99992
1047,SPEAKER_01,99992,101039
3577,SPEAKER_00,101039,104616
20486,SPEAKER_01,105207,125693
2464,SPEAKER_00,126182,128646
3409,SPEAKER_01,129287,132696
2734,SPEAKER_00,132696,135430
1434,SPEAKER_01,136004,137438
27202,SPEAKER_00,137438,164640
9146,SPEAKER_01,164843,173989
304,SPEAKER_00,172926,173230
4084,SPEAKER_00,174428,178512
3071,SPEAKER_01,178731,181802
2345,SPEAKER_00,181735,184080
24115,SPEAKER_01,184080,208195
7695,SPEAKER_00,208380,216075
1029,SPEAKER_01,211553,212582
12571,SPEAKER_01,216464,229035
2396,SPEAKER_00,218944,221340
85,SPEAKER_00,222842,222927
996,SPEAKER_00,229035,230031
3392,SPEAKER_00,230875,234267
12015,SPEAKER_01,234402,246417
3071,SPEAKER_00,246417,249488
7442,SPEAKER_01,249741,257183
4810,SPEAKER_00,257014,261824
39622,SPEAKER_01,261250,300872
1435,SPEAKER_00,283069,284504
6295,SPEAKER_01,301665,307960
1535,SPEAKER_00,307454,308989
29076,SPEAKER_01,309698,338774
422,SPEAKER_00,317055,317477
6699,SPEAKER_00,338369,345068
1434,SPEAKER_01,340208,341642
23743,SPEAKER_01,342722,366465
21499,SPEAKER_01,367174,388673
2075,SPEAKER_00,387914,389989
3645,SPEAKER_01,390310,393955
2160,SPEAKER_00,395760,397920
