Duration (s),Speaker,start_ms,end_ms
1654,SPEAKER_02,497,2151
1283,SPEAKER_01,16950,18233
4455,SPEAKER_02,18908,23363
624,SPEAKER_00,23532,24156
2025,SPEAKER_02,24494,26519
1232,SPEAKER_00,26721,27953
1114,SPEAKER_02,27700,28814
777,SPEAKER_00,28982,29759
9366,SPEAKER_02,29691,39057
17,SPEAKER_00,31986,32003
202,SPEAKER_01,32003,32205
912,SPEAKER_00,39360,40272
7948,SPEAKER_02,40069,48017
304,SPEAKER_01,43208,43512
321,SPEAKER_01,46127,46448
135,SPEAKER_01,48304,48439
304,SPEAKER_00,48439,48743
1046,SPEAKER_02,49435,50481
3510,SPEAKER_00,50852,54362
4708,SPEAKER_02,53654,58362
7121,SPEAKER_00,58362,65483
5400,SPEAKER_02,65483,70883
321,SPEAKER_00,67103,67424
5822,SPEAKER_00,71018,76840
5451,SPEAKER_02,74764,80215
2717,SPEAKER_00,80282,82999
16234,SPEAKER_02,82999,99233
3460,SPEAKER_00,99435,102895
5704,SPEAKER_02,103502,109206
962,SPEAKER_00,109392,110354
810,SPEAKER_02,110252,111062
10868,SPEAKER_00,111855,122723
287,SPEAKER_02,120495,120782
1603,SPEAKER_02,122723,124326
14377,SPEAKER_00,124512,138889
3696,SPEAKER_02,138484,142180
11846,SPEAKER_00,140948,152794
843,SPEAKER_01,153014,153857
9670,SPEAKER_00,153857,163527
405,SPEAKER_01,154617,155022
17,SPEAKER_02,160962,160979
1468,SPEAKER_02,163206,164674
3696,SPEAKER_00,164927,168623
1755,SPEAKER_02,168707,170462
18309,SPEAKER_00,170007,188316
3257,SPEAKER_02,187962,191219
5046,SPEAKER_00,191556,196602
8572,SPEAKER_00,197277,205849
3325,SPEAKER_02,205562,208887
2581,SPEAKER_00,207959,210540
1856,SPEAKER_02,210473,212329
4708,SPEAKER_00,212515,217223
760,SPEAKER_02,217594,218354
6581,SPEAKER_00,218624,225205
19068,SPEAKER_00,226167,245235
304,SPEAKER_01,235870,236174
506,SPEAKER_01,244375,244881
21347,SPEAKER_00,246315,267662
17,SPEAKER_01,256947,256964
253,SPEAKER_01,267662,267915
9298,SPEAKER_00,268371,277669
979,SPEAKER_02,273619,274598
219,SPEAKER_02,276134,276353
1789,SPEAKER_02,277450,279239
2177,SPEAKER_00,279762,281939
237,SPEAKER_01,281685,281922
9248,SPEAKER_00,282782,292030
776,SPEAKER_02,292536,293312
11154,SPEAKER_00,293532,304686
4657,SPEAKER_02,304754,309411
14175,SPEAKER_00,310120,324295
405,SPEAKER_01,317494,317899
4084,SPEAKER_00,325037,329121
962,SPEAKER_01,329121,330083
4945,SPEAKER_00,330184,335129
6514,SPEAKER_02,334926,341440
8640,SPEAKER_00,341440,350080
692,SPEAKER_02,344055,344747
5535,SPEAKER_02,350080,355615
9348,SPEAKER_00,356442,365790
337,SPEAKER_01,365217,365554
7323,SPEAKER_00,366432,373755
3138,SPEAKER_02,373199,376337
590,SPEAKER_00,376574,377164
2751,SPEAKER_02,377164,379915
18090,SPEAKER_00,380016,398106
101,SPEAKER_01,386277,386378
321,SPEAKER_01,387019,387340
523,SPEAKER_01,395271,395794
4691,SPEAKER_02,399760,404451
14934,SPEAKER_00,404451,419385
118,SPEAKER_02,405329,405447
2819,SPEAKER_00,420330,423149
725,SPEAKER_02,423267,423992
13973,SPEAKER_00,424431,438404
608,SPEAKER_01,426996,427604
48769,SPEAKER_02,437830,486599
3021,SPEAKER_00,486818,489839
1637,SPEAKER_02,489062,490699
5873,SPEAKER_00,491526,497399
17,SPEAKER_01,495694,495711
16403,SPEAKER_02,495711,512114
794,SPEAKER_02,512805,513599
6075,SPEAKER_00,514004,520079
31506,SPEAKER_02,520163,551669
320,SPEAKER_00,522205,522525
14361,SPEAKER_00,552141,566502
9535,SPEAKER_02,566535,576070
827,SPEAKER_00,576390,577217
43706,SPEAKER_02,576863,620569
607,SPEAKER_00,609820,610427
2734,SPEAKER_00,620991,623725
54000,SPEAKER_02,623725,677725
473,SPEAKER_00,659550,660023
928,SPEAKER_00,669692,670620
11846,SPEAKER_00,678147,689993
439,SPEAKER_01,685251,685690
10851,SPEAKER_02,690212,701063
2312,SPEAKER_00,701198,703510
4320,SPEAKER_02,703341,707661
3662,SPEAKER_00,706800,710462
7155,SPEAKER_02,709281,716436
861,SPEAKER_01,713854,714715
