Duration (s),Speaker,start_ms,end_ms
1857,SPEAKER_01,497,2354
68,SPEAKER_00,3602,3670
8336,SPEAKER_01,19212,27548
692,SPEAKER_00,24814,25506
1299,SPEAKER_00,27666,28965
1063,SPEAKER_01,29168,30231
4776,SPEAKER_00,30349,35125
12437,SPEAKER_01,35361,47798
1805,SPEAKER_00,47950,49755
6564,SPEAKER_01,49199,55763
3105,SPEAKER_00,55932,59037
1265,SPEAKER_01,58919,60184
979,SPEAKER_00,60825,61804
877,SPEAKER_01,61973,62850
4826,SPEAKER_00,63188,68014
2582,SPEAKER_01,68115,70697
6024,SPEAKER_00,71001,77025
1434,SPEAKER_01,77076,78510
2953,SPEAKER_00,80299,83252
3881,SPEAKER_01,82898,86779
894,SPEAKER_00,87218,88112
1333,SPEAKER_01,88129,89462
3780,SPEAKER_00,89564,93344
624,SPEAKER_01,91690,92314
979,SPEAKER_01,93175,94154
2615,SPEAKER_00,96449,99064
10108,SPEAKER_01,98963,109071
590,SPEAKER_00,104684,105274
1316,SPEAKER_00,109189,110505
18512,SPEAKER_01,110691,129203
67,SPEAKER_00,116412,116479
523,SPEAKER_00,126621,127144
3560,SPEAKER_00,129254,132814
17382,SPEAKER_01,132797,150179
2059,SPEAKER_00,150347,152406
7138,SPEAKER_01,153149,160287
254,SPEAKER_00,154785,155039
2059,SPEAKER_00,160725,162784
51638,SPEAKER_01,162075,213713
3207,SPEAKER_00,165197,168404
439,SPEAKER_00,171340,171779
10243,SPEAKER_01,214607,224850
9585,SPEAKER_01,225897,235482
7256,SPEAKER_01,236528,243784
14800,SPEAKER_00,242974,257774
219,SPEAKER_01,245337,245556
21971,SPEAKER_01,256559,278530
473,SPEAKER_00,264591,265064
18596,SPEAKER_00,278530,297126
253,SPEAKER_01,293481,293734
979,SPEAKER_01,297430,298409
12217,SPEAKER_00,298409,310626
12859,SPEAKER_01,310626,323485
878,SPEAKER_00,321392,322270
1468,SPEAKER_01,324092,325560
20706,SPEAKER_01,326303,347009
7931,SPEAKER_01,347751,355682
28182,SPEAKER_01,356492,384674
3459,SPEAKER_00,384674,388133
17061,SPEAKER_01,386901,403962
4270,SPEAKER_00,403995,408265
8488,SPEAKER_01,407303,415791
25970,SPEAKER_01,416770,442740
202,SPEAKER_00,434624,434826
203,SPEAKER_00,436007,436210
928,SPEAKER_00,443078,444006
26966,SPEAKER_01,444006,470972
287,SPEAKER_00,454165,454452
1030,SPEAKER_00,467732,468762
4253,SPEAKER_00,470972,475225
3206,SPEAKER_01,474516,477722
2937,SPEAKER_00,477722,480659
11391,SPEAKER_01,480321,491712
5400,SPEAKER_00,492134,497534
29126,SPEAKER_01,497584,526710
51,SPEAKER_00,505532,505583
1586,SPEAKER_00,506224,507810
405,SPEAKER_00,516383,516788
1975,SPEAKER_00,521074,523049
11002,SPEAKER_01,527335,538337
7087,SPEAKER_00,538405,545492
388,SPEAKER_01,544885,545273
1097,SPEAKER_00,546235,547332
557,SPEAKER_01,546285,546842
40753,SPEAKER_01,547838,588591
878,SPEAKER_00,555516,556394
962,SPEAKER_00,575057,576019
3375,SPEAKER_00,588591,591966
489,SPEAKER_01,591460,591949
6277,SPEAKER_00,593249,599526
759,SPEAKER_01,596050,596809
1772,SPEAKER_01,599526,601298
10429,SPEAKER_00,601585,612014
1181,SPEAKER_01,612132,613313
6446,SPEAKER_00,613279,619725
2008,SPEAKER_01,618342,620350
1704,SPEAKER_00,620350,622054
3324,SPEAKER_01,621396,624720
12369,SPEAKER_00,623995,636364
186,SPEAKER_01,634997,635183
11660,SPEAKER_01,636145,647805
523,SPEAKER_00,646000,646523
19761,SPEAKER_00,648210,667971
3578,SPEAKER_01,667920,671498
21060,SPEAKER_00,670519,691579
270,SPEAKER_01,678012,678282
2295,SPEAKER_01,692018,694313
5889,SPEAKER_00,694465,700354
9045,SPEAKER_01,700354,709399
1164,SPEAKER_00,701350,702514
304,SPEAKER_00,704910,705214
20723,SPEAKER_00,710327,731050
810,SPEAKER_01,725987,726797
911,SPEAKER_01,731134,732045
5619,SPEAKER_00,732434,738053
371,SPEAKER_01,738104,738475
389,SPEAKER_00,739200,739589
1383,SPEAKER_01,739994,741377
4050,SPEAKER_00,741900,745950
1553,SPEAKER_01,745950,747503
3307,SPEAKER_00,747503,750810
14445,SPEAKER_00,751435,765880
