Duration (s),Speaker,start_ms,end_ms
2054,SPEAKER_00,1723,3777
4924,SPEAKER_00,28429,33353
730,SPEAKER_01,33421,34151
899,SPEAKER_00,34151,35050
1324,SPEAKER_00,35339,36663
1986,SPEAKER_01,37292,39278
8098,SPEAKER_01,39312,47410
4245,SPEAKER_00,47546,51791
1647,SPEAKER_01,51570,53217
2529,SPEAKER_01,53404,55933
4431,SPEAKER_01,56154,60585
7301,SPEAKER_02,60585,67886
1664,SPEAKER_02,68361,70025
883,SPEAKER_02,70246,71129
2258,SPEAKER_00,71129,73387
7742,SPEAKER_02,73387,81129
20306,SPEAKER_02,81468,101774
1086,SPEAKER_02,102436,103522
832,SPEAKER_02,103998,104830
3820,SPEAKER_02,104932,108752
951,SPEAKER_02,109006,109957
1765,SPEAKER_02,110161,111926
1019,SPEAKER_02,112860,113879
7521,SPEAKER_02,114473,121994
1222,SPEAKER_02,122266,123488
3243,SPEAKER_02,123981,127224
34,SPEAKER_02,127308,127342
4397,SPEAKER_02,127716,132113
7012,SPEAKER_02,132860,139872
3515,SPEAKER_02,140619,144134
2105,SPEAKER_00,145509,147614
3022,SPEAKER_02,147410,150432
5059,SPEAKER_02,150857,155916
11188,SPEAKER_02,156256,167444
3786,SPEAKER_02,167886,171672
7657,SPEAKER_02,172911,180568
4974,SPEAKER_02,180976,185950
2054,SPEAKER_02,187020,189074
3549,SPEAKER_02,189617,193166
2462,SPEAKER_02,193777,196239
6417,SPEAKER_02,196528,202945
3990,SPEAKER_02,203149,207139
2190,SPEAKER_02,207427,209617
8608,SPEAKER_02,210042,218650
306,SPEAKER_02,219227,219533
10458,SPEAKER_02,219974,230432
13158,SPEAKER_02,230755,243913
2190,SPEAKER_01,244643,246833
3769,SPEAKER_01,247275,251044
781,SPEAKER_01,251672,252453
4499,SPEAKER_01,252911,257410
7284,SPEAKER_01,258293,265577
17,SPEAKER_01,266222,266239
22360,SPEAKER_02,266239,288599
4534,SPEAKER_02,288921,293455
4007,SPEAKER_02,293998,298005
7861,SPEAKER_02,298650,306511
679,SPEAKER_02,306918,307597
8879,SPEAKER_02,307954,316833
781,SPEAKER_02,317224,318005
2785,SPEAKER_02,318310,321095
4924,SPEAKER_02,321570,326494
543,SPEAKER_02,326986,327529
5840,SPEAKER_02,328056,333896
8455,SPEAKER_02,334881,343336
832,SPEAKER_02,343743,344575
5008,SPEAKER_02,344949,349957
5042,SPEAKER_02,349991,355033
2835,SPEAKER_02,355339,358174
4533,SPEAKER_02,358599,363132
1715,SPEAKER_02,363573,365288
544,SPEAKER_02,365882,366426
3531,SPEAKER_02,366969,370500
3838,SPEAKER_02,371162,375000
5840,SPEAKER_02,375492,381332
1307,SPEAKER_02,381689,382996
8642,SPEAKER_02,383811,392453
4686,SPEAKER_02,392775,397461
4822,SPEAKER_02,397835,402657
1392,SPEAKER_02,404219,405611
425,SPEAKER_00,404286,404711
2615,SPEAKER_00,405458,408073
186,SPEAKER_01,408073,408259
323,SPEAKER_02,408259,408582
102,SPEAKER_01,408344,408446
475,SPEAKER_01,408582,409057
900,SPEAKER_02,410246,411146
10425,SPEAKER_01,411383,421808
2360,SPEAKER_01,422045,424405
34,SPEAKER_01,424456,424490
1698,SPEAKER_02,424490,426188
2903,SPEAKER_02,426731,429634
3107,SPEAKER_02,431044,434151
3124,SPEAKER_02,434269,437393
7012,SPEAKER_02,437614,444626
3378,SPEAKER_02,444796,448174
14295,SPEAKER_02,449312,463607
2530,SPEAKER_02,463811,466341
4381,SPEAKER_02,466561,470942
4194,SPEAKER_02,471332,475526
1222,SPEAKER_02,476884,478106
1817,SPEAKER_00,477003,478820
10305,SPEAKER_02,478752,489057
1070,SPEAKER_02,490432,491502
11375,SPEAKER_00,492232,503607
9592,SPEAKER_02,504100,513692
492,SPEAKER_00,512657,513149
16196,SPEAKER_02,514202,530398
14057,SPEAKER_02,531095,545152
5161,SPEAKER_02,545645,550806
1647,SPEAKER_02,551162,552809
1579,SPEAKER_02,552928,554507
3531,SPEAKER_02,554813,558344
6332,SPEAKER_02,558718,565050
153,SPEAKER_00,561689,561842
2360,SPEAKER_02,565441,567801
798,SPEAKER_02,568208,569006
1205,SPEAKER_02,570823,572028
2700,SPEAKER_02,572758,575458
6537,SPEAKER_00,576901,583438
13379,SPEAKER_00,583777,597156
12445,SPEAKER_00,597767,610212
102,SPEAKER_01,607716,607818
17,SPEAKER_01,607920,607937
577,SPEAKER_02,607937,608514
51,SPEAKER_02,610398,610449
2921,SPEAKER_01,610449,613370
10101,SPEAKER_02,613370,623471
5297,SPEAKER_02,623981,629278
578,SPEAKER_02,629702,630280
9439,SPEAKER_02,630959,640398
5790,SPEAKER_02,640670,646460
1290,SPEAKER_02,646918,648208
1799,SPEAKER_02,648701,650500
577,SPEAKER_02,651146,651723
764,SPEAKER_02,652436,653200
18743,SPEAKER_02,654219,672962
951,SPEAKER_02,673726,674677
9050,SPEAKER_02,675033,684083
407,SPEAKER_00,676952,677359
