Duration (s),Speaker,start_ms,end_ms
1806,SPEAKER_01,497,2303
34,SPEAKER_00,15955,15989
5163,SPEAKER_01,19229,24392
928,SPEAKER_00,24392,25320
1468,SPEAKER_01,25388,26856
1333,SPEAKER_00,27177,28510
4421,SPEAKER_01,28409,32830
3122,SPEAKER_00,33150,36272
21229,SPEAKER_01,36036,57265
1772,SPEAKER_00,57552,59324
1620,SPEAKER_01,59324,60944
1485,SPEAKER_00,60994,62479
9957,SPEAKER_01,61905,71862
4573,SPEAKER_00,72149,76722
1147,SPEAKER_01,76570,77717
1772,SPEAKER_00,77717,79489
1721,SPEAKER_01,79169,80890
3696,SPEAKER_01,81497,85193
2008,SPEAKER_00,85193,87201
1569,SPEAKER_01,86948,88517
2903,SPEAKER_00,88686,91589
1722,SPEAKER_01,91892,93614
6986,SPEAKER_00,94356,101342
12386,SPEAKER_01,98069,110455
2025,SPEAKER_00,112362,114387
6834,SPEAKER_01,114252,121086
4961,SPEAKER_00,121289,126250
5569,SPEAKER_01,125895,131464
10547,SPEAKER_00,131667,142214
945,SPEAKER_01,141994,142939
2599,SPEAKER_01,143918,146517
3629,SPEAKER_00,146685,150314
5366,SPEAKER_01,150314,155680
1367,SPEAKER_00,155663,157030
7341,SPEAKER_01,157131,164472
3189,SPEAKER_00,164489,167678
6716,SPEAKER_01,166902,173618
16959,SPEAKER_00,174006,190965
1047,SPEAKER_01,191100,192147
7425,SPEAKER_00,192602,200027
270,SPEAKER_01,193935,194205
1130,SPEAKER_01,199825,200955
24655,SPEAKER_00,201529,226184
439,SPEAKER_01,213797,214236
4253,SPEAKER_01,226369,230622
6007,SPEAKER_00,231010,237017
4388,SPEAKER_01,237051,241439
13838,SPEAKER_00,241911,255749
304,SPEAKER_01,242890,243194
2345,SPEAKER_01,255749,258094
22208,SPEAKER_00,258465,280673
84,SPEAKER_01,262296,262380
438,SPEAKER_01,272337,272775
2075,SPEAKER_01,279745,281820
6007,SPEAKER_00,281922,287929
4016,SPEAKER_01,287980,291996
793,SPEAKER_00,289566,290359
5586,SPEAKER_00,292350,297936
354,SPEAKER_01,298223,298577
8168,SPEAKER_00,299134,307302
388,SPEAKER_01,304517,304905
1687,SPEAKER_01,306728,308415
3139,SPEAKER_00,308415,311554
4556,SPEAKER_01,311183,315739
14749,SPEAKER_00,315891,330640
2059,SPEAKER_01,330640,332699
945,SPEAKER_00,333239,334184
5434,SPEAKER_01,335213,340647
5315,SPEAKER_00,341305,346620
35522,SPEAKER_00,347650,383172
557,SPEAKER_01,350012,350569
169,SPEAKER_01,355176,355345
3324,SPEAKER_01,383391,386715
979,SPEAKER_00,387053,388032
894,SPEAKER_01,388032,388926
456,SPEAKER_00,389567,390023
388,SPEAKER_01,390411,390799
5383,SPEAKER_00,390951,396334
1857,SPEAKER_01,396857,398714
8910,SPEAKER_00,398832,407742
473,SPEAKER_01,405666,406139
979,SPEAKER_01,407860,408839
2852,SPEAKER_00,409159,412011
489,SPEAKER_01,412011,412500
455,SPEAKER_00,413142,413597
3274,SPEAKER_01,413597,416871
2480,SPEAKER_00,416399,418879
1367,SPEAKER_01,418812,420179
6547,SPEAKER_00,420179,426726
4488,SPEAKER_01,426254,430742
3173,SPEAKER_00,430742,433915
3291,SPEAKER_01,433341,436632
5924,SPEAKER_00,436935,442859
4843,SPEAKER_01,442859,447702
12116,SPEAKER_00,447702,459818
658,SPEAKER_01,455363,456021
15728,SPEAKER_01,460206,475934
17988,SPEAKER_00,476457,494445
1113,SPEAKER_01,486582,487695
9130,SPEAKER_01,494445,503575
2650,SPEAKER_00,503642,506292
1080,SPEAKER_01,505954,507034
11644,SPEAKER_00,507034,518678
1485,SPEAKER_01,518880,520365
8775,SPEAKER_00,520365,529140
827,SPEAKER_01,521209,522036
1182,SPEAKER_01,529562,530744
827,SPEAKER_00,531267,532094
607,SPEAKER_01,532060,532667
14006,SPEAKER_00,533174,547180
3020,SPEAKER_01,547180,550200
3138,SPEAKER_00,550859,553997
2227,SPEAKER_01,554082,556309
10463,SPEAKER_00,556444,566907
19153,SPEAKER_00,567565,586718
1283,SPEAKER_01,579529,580812
3072,SPEAKER_00,587325,590397
2042,SPEAKER_01,590245,592287
31320,SPEAKER_00,592725,624045
304,SPEAKER_01,594649,594953
574,SPEAKER_01,624045,624619
5670,SPEAKER_00,625345,631015
1974,SPEAKER_01,631015,632989
9483,SPEAKER_00,633209,642692
1671,SPEAKER_01,642962,644633
10429,SPEAKER_00,645139,655568
67,SPEAKER_01,647097,647164
7577,SPEAKER_01,655568,663145
45664,SPEAKER_01,664039,709703
10834,SPEAKER_01,710327,721161
24199,SPEAKER_01,722207,746406
641,SPEAKER_00,733868,734509
978,SPEAKER_00,746744,747722
9349,SPEAKER_01,747638,756987
1604,SPEAKER_00,757020,758624
43133,SPEAKER_01,758691,801824
1232,SPEAKER_00,762454,763686
2396,SPEAKER_00,802431,804827
35792,SPEAKER_01,804709,840501
2143,SPEAKER_00,840788,842931
15407,SPEAKER_01,842492,857899
9146,SPEAKER_00,858068,867214
372,SPEAKER_01,860430,860802
405,SPEAKER_01,864784,865189
32957,SPEAKER_01,867214,900171
659,SPEAKER_00,900660,901319
6649,SPEAKER_01,901251,907900
9365,SPEAKER_00,908204,917569
