Duration (s),Speaker,start_ms,end_ms
2020,SPEAKER_01,246,2266
4584,SPEAKER_01,19295,23879
713,SPEAKER_00,23981,24694
67,SPEAKER_00,24983,25050
697,SPEAKER_01,25050,25747
1748,SPEAKER_00,26409,28157
2870,SPEAKER_01,28191,31061
1239,SPEAKER_00,31689,32928
2190,SPEAKER_00,33336,35526
900,SPEAKER_01,35509,36409
8081,SPEAKER_00,37003,45084
323,SPEAKER_01,41434,41757
3939,SPEAKER_01,45645,49584
1342,SPEAKER_00,49719,51061
1443,SPEAKER_01,50483,51926
3074,SPEAKER_00,51926,55000
441,SPEAKER_01,52538,52979
475,SPEAKER_01,54728,55203
1376,SPEAKER_01,55882,57258
713,SPEAKER_00,57258,57971
6537,SPEAKER_01,58259,64796
9898,SPEAKER_01,65220,75118
1783,SPEAKER_00,75424,77207
578,SPEAKER_01,77393,77971
832,SPEAKER_00,78395,79227
1986,SPEAKER_01,79227,81213
1664,SPEAKER_00,81791,83455
1850,SPEAKER_01,83285,85135
2428,SPEAKER_00,85628,88056
950,SPEAKER_01,88056,89006
68,SPEAKER_00,89006,89074
2190,SPEAKER_00,89838,92028
10578,SPEAKER_01,92028,102606
34,SPEAKER_00,98378,98412
543,SPEAKER_01,103013,103556
6485,SPEAKER_00,104032,110517
2444,SPEAKER_00,111044,113488
441,SPEAKER_01,113370,113811
475,SPEAKER_00,114100,114575
2241,SPEAKER_01,114643,116884
3362,SPEAKER_01,117308,120670
14482,SPEAKER_01,120772,135254
2139,SPEAKER_00,135543,137682
323,SPEAKER_01,137563,137886
475,SPEAKER_00,137886,138361
3684,SPEAKER_01,138412,142096
3209,SPEAKER_00,143149,146358
323,SPEAKER_01,146069,146392
1188,SPEAKER_00,146392,147580
1868,SPEAKER_01,147393,149261
373,SPEAKER_00,149329,149702
2105,SPEAKER_00,150636,152741
459,SPEAKER_01,152741,153200
1205,SPEAKER_00,153200,154405
1070,SPEAKER_00,154592,155662
6706,SPEAKER_01,156477,163183
2479,SPEAKER_01,163845,166324
6774,SPEAKER_00,166816,173590
7657,SPEAKER_00,173998,181655
1732,SPEAKER_01,176561,178293
510,SPEAKER_00,181994,182504
2734,SPEAKER_00,182945,185679
780,SPEAKER_01,185764,186544
1749,SPEAKER_01,186986,188735
1375,SPEAKER_01,189176,190551
6434,SPEAKER_01,190942,197376
340,SPEAKER_00,197733,198073
3209,SPEAKER_01,198191,201400
1137,SPEAKER_00,201876,203013
3582,SPEAKER_00,203302,206884
408,SPEAKER_01,205101,205509
2326,SPEAKER_00,207376,209702
2173,SPEAKER_01,209278,211451
3685,SPEAKER_01,211977,215662
10917,SPEAKER_01,216154,227071
17,SPEAKER_01,227224,227241
577,SPEAKER_00,227241,227818
526,SPEAKER_01,227580,228106
17,SPEAKER_00,228106,228123
4805,SPEAKER_00,228293,233098
4720,SPEAKER_00,233539,238259
561,SPEAKER_01,236612,237173
3276,SPEAKER_00,238701,241977
407,SPEAKER_01,241876,242283
1748,SPEAKER_00,242691,244439
1647,SPEAKER_01,244252,245899
4431,SPEAKER_00,245594,250025
2072,SPEAKER_00,250449,252521
2495,SPEAKER_01,252521,255016
459,SPEAKER_00,253760,254219
3752,SPEAKER_01,255407,259159
441,SPEAKER_00,259278,259719
68,SPEAKER_01,259719,259787
153,SPEAKER_00,259787,259940
2275,SPEAKER_00,260076,262351
526,SPEAKER_01,262283,262809
2954,SPEAKER_00,262877,265831
8184,SPEAKER_00,265984,274168
339,SPEAKER_01,269584,269923
153,SPEAKER_01,273709,273862
6010,SPEAKER_00,274524,280534
475,SPEAKER_00,280772,281247
560,SPEAKER_01,281366,281926
6350,SPEAKER_00,282453,288803
186,SPEAKER_01,285662,285848
475,SPEAKER_01,288022,288497
2632,SPEAKER_00,289261,291893
306,SPEAKER_01,291943,292249
2564,SPEAKER_01,292351,294915
68,SPEAKER_00,292606,292674
357,SPEAKER_00,295848,296205
1103,SPEAKER_00,297139,298242
1392,SPEAKER_00,298344,299736
2869,SPEAKER_00,299957,302826
747,SPEAKER_01,302962,303709
8234,SPEAKER_00,304015,312249
2071,SPEAKER_01,312283,314354
2700,SPEAKER_00,314490,317190
1579,SPEAKER_01,316171,317750
3667,SPEAKER_00,317750,321417
3413,SPEAKER_01,320772,324185
1952,SPEAKER_00,324830,326782
1850,SPEAKER_01,327037,328887
2105,SPEAKER_00,328378,330483
2954,SPEAKER_01,330161,333115
1273,SPEAKER_00,333336,334609
4737,SPEAKER_01,334575,339312
2309,SPEAKER_01,339719,342028
7063,SPEAKER_00,342928,349991
17,SPEAKER_01,349991,350008
815,SPEAKER_00,350008,350823
6605,SPEAKER_00,351264,357869
594,SPEAKER_01,355339,355933
713,SPEAKER_01,357716,358429
2139,SPEAKER_00,358463,360602
560,SPEAKER_01,360331,360891
577,SPEAKER_00,361723,362300
5076,SPEAKER_00,362504,367580
136,SPEAKER_01,367410,367546
255,SPEAKER_01,367580,367835
1562,SPEAKER_00,367835,369397
322,SPEAKER_01,369397,369719
7606,SPEAKER_00,370110,377716
288,SPEAKER_01,377971,378259
1069,SPEAKER_00,378582,379651
1511,SPEAKER_01,380382,381893
3396,SPEAKER_00,382130,385526
662,SPEAKER_01,384473,385135
204,SPEAKER_01,385288,385492
102,SPEAKER_01,385526,385628
1189,SPEAKER_00,386069,387258
407,SPEAKER_01,387258,387665
7640,SPEAKER_00,387801,395441
4770,SPEAKER_01,394949,399719
17,SPEAKER_01,399736,399753
340,SPEAKER_00,399753,400093
51,SPEAKER_01,399770,399821
6553,SPEAKER_01,400093,406646
985,SPEAKER_00,406646,407631
5756,SPEAKER_00,408106,413862
458,SPEAKER_01,411553,412011
1579,SPEAKER_00,414490,416069
1103,SPEAKER_00,416375,417478
4805,SPEAKER_00,418106,422911
255,SPEAKER_01,422045,422300
4906,SPEAKER_00,423234,428140
9236,SPEAKER_00,428701,437937
3464,SPEAKER_01,438276,441740
510,SPEAKER_00,440585,441095
5484,SPEAKER_00,442096,447580
24533,SPEAKER_00,447937,472470
679,SPEAKER_01,468056,468735
4669,SPEAKER_00,472894,477563
662,SPEAKER_01,477801,478463
1681,SPEAKER_00,478972,480653
561,SPEAKER_01,479006,479567
2037,SPEAKER_01,480212,482249
4431,SPEAKER_01,482334,486765
408,SPEAKER_00,486731,487139
3277,SPEAKER_00,487733,491010
1036,SPEAKER_01,490704,491740
1511,SPEAKER_00,491960,493471
2955,SPEAKER_01,493471,496426
6519,SPEAKER_00,497105,503624
7148,SPEAKER_01,503709,510857
21681,SPEAKER_01,511247,532928
543,SPEAKER_00,531502,532045
4262,SPEAKER_00,533726,537988
5416,SPEAKER_01,538174,543590
832,SPEAKER_00,539397,540229
493,SPEAKER_00,542045,542538
1138,SPEAKER_00,543726,544864
3803,SPEAKER_01,544881,548684
7623,SPEAKER_00,549193,556816
374,SPEAKER_01,555271,555645
2325,SPEAKER_00,557292,559617
374,SPEAKER_01,559617,559991
2733,SPEAKER_00,560025,562758
544,SPEAKER_01,562826,563370
8098,SPEAKER_00,563370,571468
611,SPEAKER_01,570551,571162
849,SPEAKER_01,571553,572402
